Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
h7sb_stTip_title,desc,main,,,"H7SB [F4A460]Storage[-] Mod",,"H7SB [F4A460]Storage[-] Mod","H7SB [F4A460] Storage [-] Mod","H7SB [ F4A460 ] Stockage [-] Mod","H7SB [ F4A460] Storage [ -] Mod","「H7SB [F4A460]ストレージ[-] Mod」","H7SB [F4A460] 스토리지 [-] Mod","H7SB [ F4A460] Pamięć masowa [-] Mod","H7SB [F4A460] Storage [-] Mod","H7SB [ F4A460] Хранение [-] Мод","H7SB [ F4A460] Storage [-] Mod","H7SB [F4A460]存储器[-] Mod","H7SB [F4A460]Storage[-] Mod","H7SB [F4A460] Almacenamiento [-] Mod"
h7sb_stTip,desc,main,,,"[F4A460]╔[-] Storage System \n[F4A460]╠[-] 77xUnsecured / 11xSecured \n[F4A460]╚[-] Unsecured chests or similar usually have a larger inventory than lockable ones. Apart from the wooden chest, all unsecured boxes are made as a wooden or iron furniture block and selected via the menu (R). Barrels, pallets, etc. are bulk storage facilities and have the largest inventory. Secured boxes are more robust and their capacity increases with the quality. \n\n[F4A460]╔[-] New Furniture \n[F4A460]╚[-] More than 12 new furniture to decorate your home. \n\n[F4A460]╔[-] Pushable Carts \n[F4A460]╠[-] Shopping cart, Tilt Truck \n[F4A460]╚[-] Place (RMB) the cart and press the E key to push it. Hold down the E button for a long time to open or pick up the inventory like a vehicle. \n\nThe inventory size of all fast vehicles has been reduced. \n\n[F4A460]www.eihwaz.de[-] // [ff0000]I need help with localization![-]",,"[F4A460]╔[-] Lagerungssystem \n[F4A460]╠[-] 77xUngesicherte / 11xGesicherte \n[F4A460]╚[-] Ungesicherte Kisten oä verfügen idR über ein größeres Inventar als verschließbare. Abgesehen von der Holztruhe werden alle ungesicherten Kisten als hölzerner bzw eiserner Möbelblock hergestellt und über das Menü (R) ausgewählt. Fässer, Paletten oä sind Massenlager und verfügen über das größte Inventar. Gesicherte Kisten sind robuster und ihr Fassungsvermögen nimmt mit steigender Qualität zu. \n\n[F4A460]╔[-] Neue Möbel \n[F4A460]╚[-] Mehr als 12 neue Möbel zum dekorieren der Wohnung. \n\n[F4A460]╔[-] Schiebbare Karren \n[F4A460]╠[-] Einkaufswagen, Kippkarre \n[F4A460]╚[-] Platziere (RMB) die Karre und drücke die E-Taste um sie zu schieben. Halte lange die E-Taste gedrückt um wie bei einem Fahrzeug das Inventar zu öffnen oder sie aufzuheben. \n\nDie Inventargröße aller schnellen Fahrzeuge wurde verringert. \n\n[F4A460]www.eihwaz.de[-]","[F4A460] ões [-] Sistema de armazenamento \n [F4A460] navios [-] 77xUnsecured / 11xSecured \n [F4A460] navios [-] Chests insegurados ou similares geralmente têm um inventário maior do que os bloqueáveis. Além do baú de madeira, todas as caixas sem garantia são feitas como um bloco de móveis de madeira ou de ferro e selecionados através do menu (R). Barris, paletes, etc. são instalações de armazenamento a granel e possuem o maior estoque. As caixas garantidas são mais robustas e a sua capacidade aumenta com a qualidade. \n\n [F4A460] carro [-] Nova Móveis \n [F4A460] carro [-] Mais de 12 móveis novos para decorar sua casa. \n\n [F4A460] carrinho [-] Cartas Pusháveis \n [F4A460] carrinho [-] Carrinho de compras, Tilt Truck \n [F4A460] carrinho [-] Coloque (RMB) o carrinho e pressione a tecla E para empurrá-lo. Segure o botão E por um longo tempo para abrir ou pegar o inventário como um veículo. \n \nO tamanho do estoque de todos os veículos rápidos foi reduzido. \n\n [F4A460] www.eihwaz.de [-] // [ff0000] Eu preciso de ajuda com a localização! [-]","[ F4A460 ] Système de stockage [-] Système de stockage \n [ F4A460 ] [-] 77xUnsecured / 11xSecured \n [ F4A460 ] [-] Les coffres non sécurisés ou similaires ont généralement un stock plus important que les coffres verrouables. En dehors de la poitrine en bois, toutes les boîtes non-sécurisées sont faites comme un bloc de meubles en bois ou en fer et sélectionnées via le menu (R). Les barils, les palettes, etc. sont des installations de stockage en vrac et ont le plus grand inventaire. Les boîtes sécurisées sont plus robustes et leur capacité augmente avec la qualité. \n\n [ F4A460 ] [-] Nouveau mobilier \n [ F4A460 ] Mobilier [-] Plus de 12 nouveaux meubles pour décorer votre maison. \n\n [ F4A460 ] asseurs [-] Pushable Carts \n [ F4A460 ] c: [-] Shopping cart, Tilt Truck \n [ F4A460 ] tistes [-] Place (RMB) the cart and press the E key to push it. Maintenez le bouton E pendant longtemps pour ouvrir ou ramasser l'inventaire comme un véhicule. \n \nLa taille de stock de tous les véhicules rapides a été réduite. \n\n [ F4A460 ] www.eihwaz.de [-] // [ ff0000 ] J'ai besoin d'aide pour la localisation ! [-]","[ F4A460] Dettagli [ -] Sistema di archiviazione \n [ F4A460] [ -] 77xUnsecured / 11xSecured \n [ F4A460] [ -] I parassiti non garantiti o simili di solito hanno un inventario più grande di quelli bloccabili. A parte il petto di legno, tutte le scatole non garantite sono realizzate come un blocco di arredo in legno o ferro e selezionate tramite il menu (R). Barche, pallet, ecc sono impianti di stoccaggio sfusi e hanno il più grande inventario. Le scatole garantite sono più robusta e la loro capacità aumenta con la qualità. \n\n [ F4A460] >[ -] Nuovi Mobili \n [ F4A460] [ -] Più di 12 nuovi mobili per arredare la tua casa. \n\n [ F4A460] Mostrando [ -] Carte stampabili \n [ F4A460] Mostrando [ -] Shopping carrello, Tilt Truck \n [ F4A460] Mostrando [ -] Luogo (RMB) il carrello e premere il tasto E per spingerlo. Tieni premuto il pulsante E per un lungo tempo per aprire o prelevare l'inventario come un veicolo. \n \nLa dimensione dell'inventario di tutti i veicoli veloci è stata ridotta. \n\n [ F4A460] www.eihwaz.de [ -] // [ ff0000] Ho bisogno di aiuto con la localizzazione! [ -]","[ [ F4A460]] [ [ F4A460 ]] [ [ F4A460]] [ [ F4A460]] [ -] 77xUn担保 /11xSecured \n[F4A460][ -] 保護されていないシェストは、通常、ロック可能なものよりも大きい在庫を持っています。 木製の櫃以外のすべての箱は、木製のものや鉄製の家具のブロックとして作られ、メニュー (R) で選択されている。 バレルズ、パレットなどは大容量の貯蔵施設であり、最大の在庫を持っている。 保護されたボックスは、より堅固で、品質によって容量が増加します。 \n\n[F4A460]が [ -] 新家具 \n[F4A460 ]を使用します。 [ -] 12 個を超える新しい家具を自宅に飾り付けます。 \n\n[F4A460]使用中[-] プッシュ可能カート \n[F4A460]が [ -] ショッピング・カート、 Tilt トラック \n[F4A460]はカートを使用して、 E キーを押してそれをプッシュします。 E ボタンを長い間待ってから、車のような在庫を開いたり、ピックアップしたりします。 \n\n すべての高速車両の在庫サイズが削減されました。 \n\n[F4A460 ]www.eihwaz.de[-] // [ff0000]私はローカリゼーションのヘルプが必要です ![-]","[F4A460] [-] 스토리지 시스템 \n [F4A460] [-] 77xUnsecured/11xSecured \n [F4A460] [-] 보안되지 않은 문자나 이와 유사한 것은 일반적으로 잠금 가능한 것보다 더 큰 인벤토리를 가지고 있습니다. 나무 상자를 제외한 모든 비고정 상자는 나무로 만든 가구로 만들어지며 메뉴 (R) 를 통해 선택된다. 바렐 (Barrels), 팰릿 (pallet) 등은 벌크 저장 시설이며 가장 큰 재고를 갖고 있다. 상자들은 더 튼튼하고 질적인 면에서 그들의 용량은 증가한다. \n\n [F4A460] [-] 새로운 가구 [가구] [-] [-] 집을 장식하기 위해 12개 이상의 새 가구 [-] Pushable Carts ([-]) [-] 쇼핑 카트, Tilt Truck \n [F4A460] 플레이스 [-] 장소 (RMB) 를 카트에 넣고 E키를 눌러 밀어넣을 수 있다. 차량처럼 재고를 열거나 픽업하는 데 오랜 시간 동안 E 단추를 누른다. \n \nn 모든 빠른 차량의 재고 크기가 감소되었습니다. \n\n [F4A460] www.eihwaz.de [-] // [ff0000] 현지화에 도움이 필요합니다 ! [-]","[ F4A460] [-] System pamięci masowej [-] System pamięci masowej \n [ F4A460] [-] 77xUnsecured/11xSecured \n [ F4A460] [-] Niezabezpieczone gniazda lub podobne, zwykle mają większy stan magazynowy niż ten, który można zamykać. Oprócz drewnianej klatki piersiowej, wszystkie niezabezpieczone pudełka wykonane są jako drewniane lub żelazne meble blokowe i wybrane za pomocą menu (R). Beczki, palety, itp. są magazynem masowym i mają największy magazyn. Zabezpieczone skrzynki są bardziej wytrzymałe, a ich pojemność wzrasta wraz z jakością. \n\n [ F4A460] [-] Nowe meble \n [ F4A460] szt [-] Więcej niż 12 nowych mebli do dekoracji domu. \n\n [ F4A460] [-] Pushable Carts \n [ F4A460] [-] Koszyk [-] Koszyk, Tilt Truck \n [ F4A460] szt [-] Miejsce (RMB) wózek i naciśnij klawisz E, aby go wcisnąć. Przytrzymaj przycisk E przez długi czas, aby otworzyć lub odebrać zapasy jak pojazd. \n \nWielkość zapasów wszystkich szybkich pojazdów została zmniejszona. \n\n [ F4A460] www.eihwaz.de [-] // [ ff0000] potrzebna mi pomoc w lokalizacji! [-]","[F4A460] ões [-] Sistema de armazenamento \n [F4A460] navios [-] 77xUnsecured / 11xSecured \n [F4A460] navios [-] Chests insegurados ou similares geralmente têm um inventário maior do que os bloqueáveis. Além do baú de madeira, todas as caixas sem garantia são feitas como um bloco de móveis de madeira ou de ferro e selecionados através do menu (R). Barris, paletes, etc. são instalações de armazenamento a granel e possuem o maior estoque. As caixas garantidas são mais robustas e a sua capacidade aumenta com a qualidade. \n\n [F4A460] carro [-] Nova Móveis \n [F4A460] carro [-] Mais de 12 móveis novos para decorar sua casa. \n\n [F4A460] carrinho [-] Cartas Pusháveis \n [F4A460] carrinho [-] Carrinho de compras, Tilt Truck \n [F4A460] carrinho [-] Coloque (RMB) o carrinho e pressione a tecla E para empurrá-lo. Segure o botão E por um longo tempo para abrir ou pegar o inventário como um veículo. \n \nO tamanho do estoque de todos os veículos rápidos foi reduzido. \n\n [F4A460] www.eihwaz.de [-] // [ff0000] Eu preciso de ajuda com a localização! [-]","[ F4A460] [-] Система хранения данных \n [ F4A460], [-] 77xUnsecured/11xSecured \n [ F4A460], [-] Незащищенные гнезда или аналогичные им обычно имеют больший запас, чем блокируемые. Помимо деревянной груди, все незащищенные ящики изготавливаются в виде деревянного или железного мебельного блока и выбираются через меню (R). Бочки, поддоны и т.д. представляют собой крупные складские помещения и имеют наибольший запас. Защищенные ящики более крепки, и их емкость возрастает с качеством. \n\n [ F4A460] [-] Новая мебель \n [ F4A460] [-] Более 12 новых мебели для украшения вашего дома. \n\n [ F4A460] Push [-] Pusable Carts \n [ F4A460] hards [-] Shopping cart, Tilt Truck \n [ F4A460] ciden [-] Place (RMB) тележка и нажмите клавишу E для ее передачи. Удерживая кнопку E, достаточно долго, чтобы открыть или забрать инвентарь, как транспортное средство. \n \nРазмер перечня всех быстрых транспортных средств сократился. \n\n [ F4A460] www.eihwaz.de [-] // [ ff0000] Мне нужна помощь с локализацией! [-]","[ F4A460] [-] Depolama Sistemi [-] Depolama Sistemi \n [ F4A460] [-] 77xUngüvenlikli/11xSecured \n [ F4A460] [-] Güvenli olmayan göğüsler ya da benzer genellikle, kilitlenebilir olanlardan daha büyük bir envanter vardır. Tahta göğsünün dışında, güvenli olmayan tüm kutular ahşap veya demir mobilya bloğu olarak yapılır ve menü (R) üzerinden seçilir. Fıçılar, paletler, vb. toplu depolama tesisleridir ve en büyük envanterlere sahiptir. Güvenli kutular daha sağlam ve kapasiteleri kaliteyle birlikte artar. \n\n [ F4A460] [-] Yeni Mobilya [-] Yeni Mobilyalar \n [ F4A460] [-] Evinizi dekore etmek için 12 'den fazla yeni mobilya. \n\n [ F4A460] rs [-] Pushable Carts \n [ F4A460] [-] Shopping cart, Tilt Truck \n [ F4A460] [-] Place (RMB) alışveriş sepeti ve onu bastırmak için E tuşuna basın. Bir araç gibi dökümü açmak ya da almak için E düğmesini uzun süre basılı tutun. \n \nTüm hızlı araçların stok boyutu azaltıldı. \n\n [ F4A460] www.eihwaz.de [-] // [ ff0000] yerelleştirmeyle ilgili yardıma ihtiyacım var! [-]","[F4A460].[-] 存储系统 \n[F4A460]. [ -] 77xUnsecured / 11xSecured \n[F4A460].[-] 未受保护的胸部或相似度通常大于锁定的库存。 除了木柜外，所有无抵押的箱子都是木制的或铁的家具块，通过菜单 (R) 选择。 桶，托盘等是散装贮存设施，拥有最大的库存。 安全箱更坚固，其容量随质量而增加。 \n\n[F4A460]. [ -] 新家具 \n[F4A460].[-] 12 多个新家具装饰您的家。 \n\n[F4A460]. [ -] 可 Pushable Carts \n[F4A460].[-] 购物车，倾斜卡车 \n[F4A460][ -] Place (RMB) 购物车并按 E 键将其推送。 按住 E 按钮可长时间打开或像车辆一样拿起库存。 \n\n 已减少所有快速车辆的库存大小。 \n\n[F4A460]www.eihwaz.de[-] // [ff0000]我需要有助于本地化![-]","[F4A460][ -] 儲存體系統 \n[F4A460][ -] 77xUnanSecure / 11xSecured \n[F4A460].[-] 未受保護的背心或類似通常具有比可鎖定的庫存更大的庫存。 除木箱外，所有無抵押的箱子均作木質或鐵器傢具區塊，並經菜單（R）選擇。 Bars、 pallet等是大量儲存設備，擁有最大庫存。 安全箱更堅固，容量隨品質的增加而增加。 \n\n[F4A460][ -] 全新傢俱 \n[F4A460][ -] 12 家以上的新傢俱，裝飾您的家。 \n\n[F4A460][ -] Pushable Carts \n[F4A460].[-] 購物車、 Tilt Truck \n[F4A460].[-] Place （人民幣） the cart and press the E key to push it. 請按住 E 按鈕，以長時間開啟或挑選像車輛一樣的庫存。 \n\n 所有快速車輛的庫存大小已減少。 \n\n[F4A460]www.eihwaz.de[-] // [ff0000]I 需要協助，本地化！[-]","[F4A460] [-] Sistema de almacenamiento [-] \n [F4A460] [-] 77xUnsecured/11xSecured \n [F4A460] [-] Los cofres no asegurados o similares suelen tener un inventario más grande que los bloqueables. Aparte del cofre de madera, todas las cajas no aseguradas se hacen como un bloque de muebles de madera o hierro y se seleccionan a través del menú (R). Barriles, paletas, etc. son instalaciones de almacenamiento a granel y tienen el inventario más grande. Las cajas aseguradas son más robustas y su capacidad aumenta con la calidad. \n\n [F4A460] [-] Nuevos muebles \n [F4A460] [-] Más de 12 muebles nuevos para decorar su casa. \n\n [F4A460] Mantenga pulsado el botón E durante mucho tiempo para abrir o recoger el inventario como un vehículo. \n \nSe ha reducido el tamaño de inventario de todos los vehículos rápidos. \n\n [F4A460] www.eihwaz.de [-] // [ff0000] Necesito ayuda con la localización! [-]"
h7sb_stItems,desc,items,,,"Place the cart (RMB) and then press the E button to push it. By holding down the E button, you can open the inventory or pick it up again. Has a passenger seat.",,"Platziere die Karre (RMB) und drücke anschließend die E-Taste um sie zu schieben. Durch langes drücken der E-Taste kann man das Inventar öffnen oder sie wieder aufheben. Verfügt über einen Beifahrersitz.","Coloque o carrinho (RMB) e, em seguida, pressione o botão E para empurrá-lo. Ao segurar o botão E, você pode abrir o inventário ou captá-lo novamente. Tem um assento de passageiro.","Placez le panier (RMB), puis appuyez sur le bouton E pour le pousser. En maintenant le bouton E, vous pouvez ouvrir l'inventaire ou le récupérer à nouveau. A un siège passager.","Inserire il carrello (RMB) e poi premere il pulsante E per spingerlo. Tenendo premuto il pulsante E, è possibile aprire l'inventario o riprenderlo. Ha un sedile passeggero '.","カートを配置 (RMB) すると、 E ボタンを押してプッシュします。 「 E 」ボタンを押したままにすると、インベントリーを開くか、または再度ピックアップできます。 助手席があります。」","카트 (RMB) 를 놓은 다음 E 단추를 눌러 밀어 넣는다. E 단추를 누른 상태에서 인벤토리를 열거나 다시 선택할 수 있습니다. 조수석이 있나요?","Umieść koszyk (RMB), a następnie naciśnij przycisk E, aby go przesunąć. Przytrzymując przycisk E, można otworzyć spis zasobów lub ponownie go odebrać. Ma miejsce pasażera.","Coloque o carrinho (RMB) e, em seguida, pressione o botão E para empurrá-lo. Ao segurar o botão E, você pode abrir o inventário ou captá-lo novamente. Tem um assento de passageiro.","Разместите корзину (RMB) и нажмите кнопку E, чтобы передать его. Удерживая нажатой кнопку E, можно открыть реестр или выбрать его снова. Имеет пассажирское сиденье '.","Sepeti yerleştirin (RMB) ve daha sonra, itmek için E düğmesine basın. E (E) düğmesini basılı tutarak, dökümü açabilir ya da yeniden seçebilirsiniz. Bir yolcu koltuğu var.","放置购物车 (人民币) ，然后按 E 按钮进行推送。 通过按住 E 按钮，您可以打开库存或再次提取库存。 拥有一个乘客座位。","「放入購物車（人民幣），然後按 E 鍵推動。 透過按住 E 按鈕，您可以開啟庫存或重新挑選它。 有乘客座位。」","Coloque el carro (RMB) y luego presione el botón E para empujarlo. Manteniendo pulsado el botón E, puede abrir el inventario o recogerlo de nuevo. Tiene un asiento de pasajeros."
h7sb_einkaufswagen,items,vehicle,,,"Shopping Cart",,"Einkaufswagen","Carrinho de Compras","Panier","Carrello dello shopping","ショッピング・カート","쇼핑 카트","Koszyk","Carrinho de Compras","Корзина","Alışveriş Sepeti","购物车","「購物車」","Carro de la compra"
h7sb_kippkarre,items,vehicle,,,"Tilt Truck",,"Kippkarre","Tilt Truck","Tilt Truck","Carro di tilt","ティルト・トラック","Tilt Truck","Tilt Truck","Tilt Truck","Тильт-грузовик","Eğim Kamyonu","倾斜卡车","Tilt Truck","Camión de inclinación"
h7sb_metallMöbel,blocks,helper,,,"Metal Furniture",,"Metallmöbel","Móveis De Metal","Meubles métalliques","Mobili in metallo","「メタル・家具」","금속 가구","Meble metalowe","Móveis De Metal","Металлическая мебель","Metal Mobilya","金属家具","金屬傢俱","Muebles de metal"
h7sb_holzMöbel,blocks,helper,,,"Wooden Furniture",,"Holzmöbel","Móveis De Madeira","Meubles en bois","Mobili in legno","木製家具","우덴 가구 (Wooden 가구)","Meble drewniane","Móveis De Madeira","Деревянная мебель","Ahşap Mobilyalar","木制家具","「木傢俱」","Muebles de madera"
h7sb_holzkisteOffen,blocks,block,,,"Wooden Chest",,"Holztruhe","Peito De Madeira","Wooden Chest","Petto di legno","ウッデン・チェスト","우덴의 가슴","Skrzynia drewniana","Peito De Madeira","Деревянный сундук","Tahta Göğüs","木柜","「胸胸」","Pecho de madera"
h7sb_holzkiste,blocks,block,,,"Wooden Chest",,"Holztruhe","Peito De Madeira","Wooden Chest","Petto di legno","ウッデン・チェスト","우덴의 가슴","Skrzynia drewniana","Peito De Madeira","Деревянный сундук","Tahta Göğüs","木柜","「胸胸」","Pecho de madera"
h7sb_holzkisteOffen1,blocks,block,,,"Fancier Wooden Chest",,"Edle Holztruhe","Fancier Peito De Madeira","Fancier Wooden Chest","Fantaer Wooden Petto","ファンシャー・ウッデン・チェスト","더 좋은 우덴의 가슴","Fancier drewniana klatka piersiowa","Fancier Peito De Madeira","Деревянная грудь","Fancier Tahta Göğüs","Fancier 木制胸膛","幻想的木製胸圍","Pecho de madera de Fancier"
