Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
cntStorageGenericHalf,blocks,Container,,,"Small Storage Box",,"Kleine Speicherbox","Caixa de Armazenamento Pequeno","Petite boîte de stockage","Small Storage Box","小ストレージ・ボックス","작은 스토리지 박스","Małe pudełko pamięci","Caixa de Armazenamento Pequeno","Маленький ящик хранения","Küçük Depolama Kutusu","小型存储箱","小儲存箱","Caja de almacenamiento pequeño"
cntStorageGenericHalfInsecure,blocks,Container,,,"Small Storage Box",,"Kleine Speicherbox","Caixa de Armazenamento Pequeno","Petite boîte de stockage","Small Storage Box","小ストレージ・ボックス","작은 스토리지 박스","Małe pudełko pamięci","Caixa de Armazenamento Pequeno","Маленький ящик хранения","Küçük Depolama Kutusu","小型存储箱","小儲存箱","Caja de almacenamiento pequeño"
cntPlayerFireWoodStack,blocks,Container,,,"Stack of Wood",,"Stack of Wood","Pilha de Madeira","Pile de bois","Stack di legno","ウッド・オブ・ウッド","나무의 스택","Stos drewna","Pilha de Madeira","Деревянный стек","Stack of Wood","木头栈","木斯堆","Pila de madera"
cntPlayerCementBagStack,blocks,Container,,,"Cement Pallet",,"Zementpalette","Palete De Cimento","Ciment Pallet","Pallet di cemento","セメントパレット","시멘트 파렛트","Paleta cementu","Palete De Cimento","Цементный палет","Çimento Palet","水泥托盘","水泥棧板","Paleta de cemento"
cntPlayerBrownBoxes,blocks,Container,,,"Pallet of Boxes",,"Palette der Boxen","Palete de Caixas","Palette de boîtes","Pallet di Bose","「ボクシーズのパレット」","상자의 파렛트","Paleta Boxes","Palete de Caixas","Палитра бокс","Kutuların Paleti","拳王","寶箱的棧板","Paleta de cajas"
cntPlayerBlueTarp,blocks,Container,,,"Covered Pallet",,"Covered Palette","Pallet Coberto","Palette couverte","Pallet Coperto","カバー・パレット","존경하는 파렛트","Pokryte paletą","Pallet Coberto","крытый поддон","Kapsanan Palet","有盖托盘","「尊敬的棧板」","Palet cubierto"
cntPlayerBrickPile,blocks,Container,,,"Pallet of Bricks",,"Palette von Ziegeln","Pallet de Bricks","Pallet de Bricks","Pallet di Bricks","パレット・オブ・ブリックス","벽돌의 파렛트 (Pallet of Bricks)","Paleta Bricks","Pallet de Bricks","Палитра кирпичей","Tuğlaların Paleti","砖块","「布瑞克的棧板」","Paleta de Bricks"
cntPlayerMedicLootPileSmall,blocks,Container,,,"Medical Supplies",,"Medizinische Versorgung","Suprimentos Médicos","Fournitures médicales","Forniture Mediche","「医療用品」","의료 공급","Materiały medyczne","Suprimentos Médicos","Медицинские принадлежности","Tıbbi Malzemeler","医疗用品","「醫療用品」","Suministros médicos"
cntPlayerMedicLootPileMedium,blocks,Container,,,"Medical Supplies",,"Medizinische Versorgung","Suprimentos Médicos","Fournitures médicales","Forniture Mediche","「医療用品」","의료 공급","Materiały medyczne","Suprimentos Médicos","Медицинские принадлежности","Tıbbi Malzemeler","医疗用品","「醫療用品」","Suministros médicos"
cntPlayerMedicineCabinetClosed,blocks,Container,,,"Medicine Cabinet",,"Medicine Cabinet","Gabinete De Medicina","Cabinet de médecine","Gabinetto di medicina","「メディシン・キャビネット」","의학 내각","Gabinet Medycyny","Gabinete De Medicina","Медицинский кабинет","Tıp Dolabı","医药内阁","「醫藥櫃」","Gabinete de Medicina"
cntPlayerPillCaseClosed,blocks,Container,,,"Medical Storage",,"Medical Storage","Armazenamento Médico","Stockage médical","Memoria medica","医療ストレージ","의료 창고","Przechowywanie medyczne","Armazenamento Médico","Медицинская память","Tıbbi Depo","医疗储存","「醫療儲存」","Almacenamiento médico"
cntPlayerWaterCoolerFull,blocks,Container,,,"Water Cooler",,"Wasserkühler","Cooler de Água","Cooleur d'eau","Water Cooler","ウォーター・クーラー","물 냉각기","Chłodnica wody","Cooler de Água","Охладитель воды","Su Soğutucusu","水冷器","水 Cooler","Cooler de agua"
cntPlayerVendingMachine,blocks,Container,,,"Vending Machine",,"Vending Machine","Máquina de Vendas","Vending Machine","Vending Machine","自動処理マシン","밴딩 머신 (Vending Machine)","Maszyna Vending","Máquina de Vendas","Vending Machine","Otomat","自动售货机","Vending Machine","Máquina expendedora"
cntPlayerFoodPileSmall,blocks,Container,,,"Canned Goods",,"Canned Goods","Bens Enlatados","Produits en conserve","Beni conciati","「缶詰」","Canned Goods","Towary w puszkach","Bens Enlatados","Консервы","Konserve Mal","罐头","罐頭貨物","Bienes enlatados"
cntPlayerFoodPileMedium,blocks,Container,,,"Canned Goods",,"Canned Goods","Bens Enlatados","Produits en conserve","Beni conciati","「缶詰」","Canned Goods","Towary w puszkach","Bens Enlatados","Консервы","Konserve Mal","罐头","罐頭貨物","Bienes enlatados"
cntPlayerFoodPileLarge,blocks,Container,,,"Canned Goods",,"Canned Goods","Bens Enlatados","Produits en conserve","Beni conciati","「缶詰」","Canned Goods","Towary w puszkach","Bens Enlatados","Консервы","Konserve Mal","罐头","罐頭貨物","Bienes enlatados"
cntPlayerAmmoPileSmall,blocks,Container,,,"Ammunition Pile",,"Munitionsstapel","Pilha De Munição","Pile de munitions","Munizioni Pile","弾薬のパイル","양탄자","Stos Amunicji","Pilha De Munição","Куча боеприпасов","Cephane Yığını","弹药堆","彈藥庫","Pila de municiones"
cntPlayerAmmoPileMedium,blocks,Container,,,"Ammunition Pile",,"Munitionsstapel","Pilha De Munição","Pile de munitions","Munizioni Pile","弾薬のパイル","양탄자","Stos Amunicji","Pilha De Munição","Куча боеприпасов","Cephane Yığını","弹药堆","彈藥庫","Pila de municiones"
cntPlayerAmmoPileLarge,blocks,Container,,,"Ammunition Pile",,"Munitionsstapel","Pilha De Munição","Pile de munitions","Munizioni Pile","弾薬のパイル","양탄자","Stos Amunicji","Pilha De Munição","Куча боеприпасов","Cephane Yığını","弹药堆","彈藥庫","Pila de municiones"
cntPlayerMunitionsBox,blocks,Container,,,"Munitions Storage Box",,"Munitions Storage Box","Caixa de Armazenamento de Munição","Boîte de stockage Munitions","Box Storage Box","Munitions ストレージ・ボックス","Munitions Storage Box","Skrzynki magazynowe amunicji","Caixa de Armazenamento de Munição","Ящик для хранения боеприпасов","Mühimmat Deposu Kutusu","弹药储存箱","彈藥箱","Caja de almacenamiento de municiones"
cntPlayerScrapMetalPile,blocks,Container,,,"Pile of Scrap Metal",,"Haufen von Schrott","Pilha de Sucata Metal","Pile of Scrap Metal","Pile di Scrap Metal","スクラップ・メタルの Pile","싸구메탈의 타일","Stos z Scrap Metal","Pilha de Sucata Metal","Куча металлолома","Spist Metal yığını","垃圾金属堆","垃圾金屬堆","Pila de chatarra"
cntPlayerBarrelPlasticSingle00,blocks,Container,,,"Plastic Barrel",,"Plastic Barrel","Barril De Plástico","Barrel en plastique","Barili di plastica","プラスティック・バレル","플라스틱 바렐","Plastikowa baryłka","Barril De Plástico","Пластиковая Бочка","Plastik Fıçı","塑料桶","塑膠桶","Barril de plástico"
cntPlayerBarrelPlasticQuadA,blocks,Container,,,"Plastic Barrels",,"Plastikfässer","Barris De Plástico","Barrels en plastique","Barili di plastica","プラスティック・バレルズ","플라스틱 바렐","Plastikowe beczki","Barris De Plástico","Пластиковые бочки","Plastik Fıçılar","塑料桶","「塑膠桶」","Barriles de plástico"
cntPlayerBarrelGenericQuadA,blocks,Container,,,"Rusty Barrels",,"Rusty Barrels","Barris Enferrudos","Rusty Barrels","Rusty Barattoli","ラスティ・バレルズ","러스티 바렐","Rusty beczki","Barris Enferrudos","Ржавые бочки","Paslı Fıçılar","生锈的桶","小鏽巴","Barriles Oxidados"
cntPlayerBarrelGasQuadA,blocks,Container,,,"Gas Barrels",,"Gasfässer","Barris De Gás","Barreuils de gaz","Barili di gas","ガス・バレルス","가스 바렐","Baryłki gazowe","Barris De Gás","Газовые бочки","Gaz Fıçıları","天然气桶","天然氣桶","Barriles de gas"
cntPlayerBarrelGasSingle00,blocks,Container,,,"Gas Barrel",,"Gas Barrel","Barril de Gás","Barrel de gaz","Canna del gas","ガス・バレル","가스바렐","Beczka Gazu","Barril de Gás","Газовая бочка","Gaz Namlusu","气桶","氣體桶","Barril de gas"
cntPlayerBarrelOilQuadA,blocks,Container,,,"Oil Barrels",,"Ölfässer","Barris De Petróleo","Barils de pétrole","Barili di petrolio","オイル・バレルズ","석유 바렐","Olejek beczki","Barris De Petróleo","Нефтяные бочки","Petrol Varilleri","石油桶","油桶","Barriles de petróleo"
cntPlayerBarrelOilSingle00,blocks,Container,,,"Oil Barrel",,"Oil Barrel","Barril de Petróleo","Huile de Barrel","Petrolio Barrel","オイル・バレル","오일 배럴","Olejek baryłka","Barril de Petróleo","Нефтяной бочка","Yağ Fıçısı","油桶","油桶","Barril de petróleo"
cntPlayerBarrelAcidQuadA,blocks,Container,,,"Green Barrels",,"Grüne Barrel","Barris Verdes","Barrels verts","Barili verdi","グリーン・バレルズ","그린 바렐","Zielone beczki","Barris Verdes","Зеленые бочки","Yeşil Variller","绿桶","「綠 Bars」","Barriles verdes"
cntPlayerBarrelAcidSingle00,blocks,Container,,,"Green Barrel",,"Grünes Barrel","Barril Verde","Barrel vert","Canna verde","緑のバーレル","그린 바렐","Zielone baryłkę","Barril Verde","Зеленая бочка","Yeşil Varil","绿桶","綠色 Barrel","Barril Verde"
cntPlayerBarrelRadiatedQuadA,blocks,Container,,,"Yellow Barrels",,"Gelbe Fässer","Barris Amarelos","Barils jaunes","Barili gialli","「イエロー・バレルズ」","노란바레","Żółte beczki","Barris Amarelos","Желтые бочки","Sarı Fıçılar","黄色桶","「黃巴雷爾」","Barriles amarillos"
